Equipment ID,Location,Usage Hours,Service History,Latitude,Longitude,ds
201,Berlin,2819,Heavy,52.52,13.405,2025-02-01
202,San Francisco,6572,Heavy,37.7749,-122.4194,2025-03-28
203,Mumbai,4848,Moderate,19.076,72.8777,2025-01-05
204,New York,5070,Regular,40.7128,-74.006,2025-03-06
205,Singapore,2869,Moderate,1.3521,103.8198,2025-04-02
206,Mumbai,15746,Regular,19.076,72.8777,2025-03-17
207,London,2212,Heavy,51.5074,-0.1278,2025-01-21
208,Sydney,13149,Regular,-33.8688,151.2093,2025-01-28
209,Paris,5349,None,48.8566,2.3522,2025-01-13
210,Paris,13270,Moderate,48.8566,2.3522,2025-04-14
211,New York,17054,Moderate,40.7128,-74.006,2025-04-29
212,Sydney,4582,Moderate,-33.8688,151.2093,2025-04-17
213,Singapore,13850,Moderate,1.3521,103.8198,2025-04-01
214,Berlin,3501,Moderate,52.52,13.405,2025-04-09
215,London,4614,Heavy,51.5074,-0.1278,2025-04-21
216,Berlin,14455,Regular,52.52,13.405,2025-03-23
217,Paris,7329,Regular,48.8566,2.3522,2025-01-27
218,London,24997,Failure,51.5074,-0.1278,2025-03-24
219,Berlin,21960,Moderate,52.52,13.405,2025-03-10
220,San Francisco,7354,Moderate,37.7749,-122.4194,2025-02-04
221,Mumbai,9196,Moderate,19.076,72.8777,2025-04-18
222,New York,9505,Heavy,40.7128,-74.006,2025-04-14
223,Paris,15145,Regular,48.8566,2.3522,2025-01-28
224,Singapore,12311,Regular,1.3521,103.8198,2025-03-05
225,Sydney,23064,Moderate,-33.8688,151.2093,2025-02-03
226,Tokyo,10081,Heavy,35.6762,139.6503,2025-03-10
227,London,21155,Moderate,51.5074,-0.1278,2025-03-16
228,Sydney,13861,Regular,-33.8688,151.2093,2025-01-18
229,Mumbai,18171,None,19.076,72.8777,2025-01-07
230,Berlin,7008,Moderate,52.52,13.405,2025-04-12
231,Sydney,21543,None,-33.8688,151.2093,2025-02-18
232,Singapore,17337,Moderate,1.3521,103.8198,2025-03-12
233,New York,24291,Heavy,40.7128,-74.006,2025-03-29
234,Mumbai,10743,Heavy,19.076,72.8777,2025-02-13
235,Berlin,11617,Moderate,52.52,13.405,2025-02-28
236,New York,10630,Failure,40.7128,-74.006,2025-04-08
237,Tokyo,18635,Failure,35.6762,139.6503,2025-04-22
238,London,22937,Moderate,51.5074,-0.1278,2025-01-26
239,Tokyo,14252,Heavy,35.6762,139.6503,2025-03-11
240,Mumbai,2018,Moderate,19.076,72.8777,2025-03-04
241,New York,5665,Failure,40.7128,-74.006,2025-04-23
242,London,9846,None,51.5074,-0.1278,2025-04-23
243,Singapore,4580,None,1.3521,103.8198,2025-03-04
244,Berlin,19455,Heavy,52.52,13.405,2025-01-17
245,Toronto,20015,Regular,43.65107,-79.347015,2025-03-09
246,Singapore,15865,Failure,1.3521,103.8198,2025-04-29
247,Mumbai,24605,Regular,19.076,72.8777,2025-02-09
248,Sydney,24009,Moderate,-33.8688,151.2093,2025-02-26
249,Mumbai,16794,Regular,19.076,72.8777,2025-01-29
250,Berlin,13078,None,52.52,13.405,2025-03-12
